LAST SEEN   TYPE      REASON                         OBJECT                                            MESSAGE
4m47s       Normal    Scheduled                      pod/coordinator-9b999cd76-5sndp                   Successfully assigned default/coordinator-9b999cd76-5sndp to ip-10-0-177-63.us-east-2.compute.internal
4m46s       Normal    Pulling                        pod/coordinator-9b999cd76-5sndp                   Pulling image "harbor.starburstdata.net/starburstdata/starburst-enterprise-init:1.5.2"
4m38s       Normal    Pulled                         pod/coordinator-9b999cd76-5sndp                   Successfully pulled image "harbor.starburstdata.net/starburstdata/starburst-enterprise-init:1.5.2" in 7.770007248s (7.770019616s including waiting)
4m38s       Normal    Created                        pod/coordinator-9b999cd76-5sndp                   Created container starburst-enterprise-init
4m38s       Normal    Started                        pod/coordinator-9b999cd76-5sndp                   Started container starburst-enterprise-init
4m33s       Normal    Pulling                        pod/coordinator-9b999cd76-5sndp                   Pulling image "harbor.starburstdata.net/starburstdata/starburst-enterprise:423-e.1"
3m53s       Normal    Pulled                         pod/coordinator-9b999cd76-5sndp                   Successfully pulled image "harbor.starburstdata.net/starburstdata/starburst-enterprise:423-e.1" in 40.576583505s (40.576594704s including waiting)
3m53s       Normal    Created                        pod/coordinator-9b999cd76-5sndp                   Created container coordinator
3m52s       Normal    Started                        pod/coordinator-9b999cd76-5sndp                   Started container coordinator
3m47s       Warning   Unhealthy                      pod/coordinator-9b999cd76-5sndp                   Startup probe failed: Get "http://10.0.176.242:8080/v1/readiness": dial tcp 10.0.176.242:8080: connect: connection refused
3m7s        Warning   Unhealthy                      pod/coordinator-9b999cd76-5sndp                   Startup probe failed: HTTP probe failed with statuscode: 503
4m47s       Normal    Killing                        pod/coordinator-9b999cd76-llxgp                   Stopping container coordinator
4m47s       Normal    SuccessfulCreate               replicaset/coordinator-9b999cd76                  Created pod: coordinator-9b999cd76-5sndp
4m45s       Normal    NodeNotSchedulable             node/ip-10-0-176-191.us-east-2.compute.internal   Node ip-10-0-176-191.us-east-2.compute.internal status is now: NodeNotSchedulable
3m1s        Normal    NodeNotReady                   node/ip-10-0-176-191.us-east-2.compute.internal   Node ip-10-0-176-191.us-east-2.compute.internal status is now: NodeNotReady
93s         Normal    DeletingNode                   node/ip-10-0-176-191.us-east-2.compute.internal   Deleting node ip-10-0-176-191.us-east-2.compute.internal because it does not exist in the cloud provider
91s         Normal    RemovingNode                   node/ip-10-0-176-191.us-east-2.compute.internal   Node ip-10-0-176-191.us-east-2.compute.internal event: Removing Node ip-10-0-176-191.us-east-2.compute.internal from Controller
5m55s       Normal    Starting                       node/ip-10-0-177-63.us-east-2.compute.internal    Starting kubelet.
5m55s       Warning   InvalidDiskCapacity            node/ip-10-0-177-63.us-east-2.compute.internal    invalid capacity 0 on image filesystem
5m55s       Normal    NodeHasSufficientMemory        node/ip-10-0-177-63.us-east-2.compute.internal    Node ip-10-0-177-63.us-east-2.compute.internal status is now: NodeHasSufficientMemory
5m55s       Normal    NodeHasNoDiskPressure          node/ip-10-0-177-63.us-east-2.compute.internal    Node ip-10-0-177-63.us-east-2.compute.internal status is now: NodeHasNoDiskPressure
