LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
18m         Warning   FailedScheduling          pod/certmanager-cert-manager-5f77cf4598-rgjh2              no nodes available to schedule pods
13m         Warning   FailedScheduling          pod/certmanager-cert-manager-5f77cf4598-rgjh2              0/1 nodes are available: 1 node(s) had untolerated taint {node.cloudprovider.kubernetes.io/uninitialized: true}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling..
13m         Normal    Scheduled                 pod/certmanager-cert-manager-5f77cf4598-rgjh2              Successfully assigned default/certmanager-cert-manager-5f77cf4598-rgjh2 to ip-10-0-188-41.us-east-2.compute.internal
13m         Normal    Pulling                   pod/certmanager-cert-manager-5f77cf4598-rgjh2              Pulling image "quay.io/jetstack/cert-manager-controller:v1.11.1"
13m         Normal    Pulled                    pod/certmanager-cert-manager-5f77cf4598-rgjh2              Successfully pulled image "quay.io/jetstack/cert-manager-controller:v1.11.1" in 5.598639627s (5.59865069s including waiting)
13m         Normal    Created                   pod/certmanager-cert-manager-5f77cf4598-rgjh2              Created container cert-manager-controller
13m         Normal    Started                   pod/certmanager-cert-manager-5f77cf4598-rgjh2              Started container cert-manager-controller
17m         Warning   FailedScheduling          pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   no nodes available to schedule pods
13m         Warning   FailedScheduling          pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   0/1 nodes are available: 1 node(s) had untolerated taint {node.cloudprovider.kubernetes.io/uninitialized: true}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling..
13m         Normal    Scheduled                 pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   Successfully assigned default/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5 to ip-10-0-188-41.us-east-2.compute.internal
13m         Normal    Pulling                   pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   Pulling image "quay.io/jetstack/cert-manager-cainjector:v1.11.1"
13m         Normal    Pulled                    pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   Successfully pulled image "quay.io/jetstack/cert-manager-cainjector:v1.11.1" in 4.953052043s (4.953152143s including waiting)
13m         Normal    Created                   pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   Created container cert-manager-cainjector
13m         Normal    Started                   pod/certmanager-cert-manager-cainjector-558bf5b55d-f2bx5   Started container cert-manager-cainjector
17m         Warning   FailedScheduling          pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      no nodes available to schedule pods
13m         Warning   FailedScheduling          pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      0/1 nodes are available: 1 node(s) had untolerated taint {node.cloudprovider.kubernetes.io/uninitialized: true}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling..
13m         Normal    Scheduled                 pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      Successfully assigned default/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x to ip-10-0-188-41.us-east-2.compute.internal
13m         Normal    Pulling                   pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      Pulling image "quay.io/jetstack/cert-manager-webhook:v1.11.1"
13m         Normal    Pulled                    pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      Successfully pulled image "quay.io/jetstack/cert-manager-webhook:v1.11.1" in 5.772368414s (5.772437718s including waiting)
13m         Normal    Created                   pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      Created container cert-manager-webhook
13m         Normal    Started                   pod/certmanager-cert-manager-webhook-74b6ddbb48-hjh5x      Started container cert-manager-webhook
17m         Warning   FailedScheduling          pod/coordinator-9b999cd76-t8sx6                            no nodes available to schedule pods
13m         Warning   FailedScheduling          pod/coordinator-9b999cd76-t8sx6                            0/1 nodes are available: 1 node(s) had untolerated taint {node.cloudprovider.kubernetes.io/uninitialized: true}. preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling..
13m         Normal    Scheduled                 pod/coordinator-9b999cd76-t8sx6                            Successfully assigned default/coordinator-9b999cd76-t8sx6 to ip-10-0-185-3.us-east-2.compute.internal
13m         Normal    Pulling                   pod/coordinator-9b999cd76-t8sx6                            Pulling image "harbor.starburstdata.net/starburstdata/starburst-enterprise-init:1.5.2"
