Kind                      Name                                                   Finalizers
Pod                       certmanager-cert-manager-5f77cf4598-tbz6l              <none>
Pod                       certmanager-cert-manager-cainjector-558bf5b55d-xmhm8   <none>
Pod                       certmanager-cert-manager-webhook-74b6ddbb48-sp9gc      <none>
Pod                       coordinator-9b999cd76-t8sx6                            <none>
Pod                       externaldns-external-dns-656c894cb-rmz2s               <none>
Pod                       hive-566c674cc9-m29rn                                  <none>
Pod                       nginx-ingress-nginx-controller-6547cdd79b-mz9pt        <none>
Pod                       ranger-7855c458d8-t8w76                                <none>
Pod                       worker-5d58dd7855-7wclj                                <none>
Pod                       aws-node-m66qk                                         <none>
Pod                       aws-node-shmhx                                         <none>
Pod                       aws-node-vxjnf                                         <none>
Pod                       coredns-5c5677bc78-gwjn8                               <none>
Pod                       coredns-5c5677bc78-rtzs2                               <none>
Pod                       kube-proxy-8twxq                                       <none>
Pod                       kube-proxy-jlfc8                                       <none>
Pod                       kube-proxy-v7c9p                                       <none>
Pod                       metrics-server-5d875656f5-7vfns                        <none>
Service                   certmanager-cert-manager                               <none>
Service                   certmanager-cert-manager-webhook                       <none>
Service                   coordinator                                            <none>
Service                   externaldns-external-dns                               <none>
Service                   hive                                                   <none>
Service                   kubernetes                                             <none>
Service                   nginx-ingress-nginx-controller                         [service.kubernetes.io/load-balancer-cleanup]
Service                   nginx-ingress-nginx-controller-admission               <none>
Service                   prometheus-coordinator-starburst                       <none>
Service                   prometheus-worker-starburst                            <none>
Service                   ranger                                                 [service.kubernetes.io/load-balancer-cleanup]
Service                   starburst                                              [service.kubernetes.io/load-balancer-cleanup]
Service                   worker                                                 <none>
Service                   kube-dns                                               <none>
Service                   metrics-server                                         <none>
DaemonSet                 aws-node                                               <none>
DaemonSet                 kube-proxy                                             <none>
Deployment                certmanager-cert-manager                               <none>
Deployment                certmanager-cert-manager-cainjector                    <none>
Deployment                certmanager-cert-manager-webhook                       <none>
Deployment                coordinator                                            <none>
Deployment                externaldns-external-dns                               <none>
Deployment                hive                                                   <none>
Deployment                nginx-ingress-nginx-controller                         <none>
Deployment                ranger                                                 <none>
Deployment                worker                                                 <none>
Deployment                coredns                                                <none>
Deployment                metrics-server                                         <none>
ReplicaSet                certmanager-cert-manager-5f77cf4598                    <none>
ReplicaSet                certmanager-cert-manager-cainjector-558bf5b55d         <none>
ReplicaSet                certmanager-cert-manager-webhook-74b6ddbb48            <none>
ReplicaSet                coordinator-846fdd4b74                                 <none>
ReplicaSet                coordinator-85dd997c78                                 <none>
ReplicaSet                coordinator-9b999cd76                                  <none>
ReplicaSet                externaldns-external-dns-656c894cb                     <none>
ReplicaSet                hive-566c674cc9                                        <none>
ReplicaSet                nginx-ingress-nginx-controller-6547cdd79b              <none>
ReplicaSet                ranger-7855c458d8                                      <none>
ReplicaSet                worker-5b68f8896f                                      <none>
ReplicaSet                worker-5d58dd7855                                      <none>
ReplicaSet                worker-796bc6ffc6                                      <none>
ReplicaSet                worker-7bddc8657d                                      <none>
ReplicaSet                coredns-5c5677bc78                                     <none>
ReplicaSet                metrics-server-5d875656f5                              <none>
HorizontalPodAutoscaler   starburst-worker-hpa                                   <none>
