NAME                                             TYPE                             DATA   AGE
certmanager-cert-manager-webhook-ca              Opaque                           3      126d
datasources-secret-ranger-starburst-ranger       Opaque                           1      203d
hive-database-password                           Opaque                           1      203d
hive-object-storage-secret                       Opaque                           5      203d
init-secret-ranger-starburst-ranger              Opaque                           2      203d
letsencrypt                                      Opaque                           1      126d
nginx-ingress-nginx-admission                    Opaque                           3      126d
postgrejdbc                                      Opaque                           1      48d
ranger-database-password                         Opaque                           2      203d
ranger-password-secret                           Opaque                           7      203d
registry-secret-hive-starburst-hive              kubernetes.io/dockerconfigjson   1      203d
registry-secret-ranger-starburst-ranger          kubernetes.io/dockerconfigjson   1      203d
registry-secret-starburst-starburst-enterprise   kubernetes.io/dockerconfigjson   1      7d22h
sh.helm.release.v1.certmanager.v1                helm.sh/release.v1               1      126d
sh.helm.release.v1.externaldns.v1                helm.sh/release.v1               1      126d
sh.helm.release.v1.hive.v1                       helm.sh/release.v1               1      203d
sh.helm.release.v1.hive.v2                       helm.sh/release.v1               1      203d
sh.helm.release.v1.nginx.v1                      helm.sh/release.v1               1      126d
sh.helm.release.v1.ranger.v1                     helm.sh/release.v1               1      203d
sh.helm.release.v1.starburst.v1                  helm.sh/release.v1               1      7d22h
sh.helm.release.v1.starburst.v2                  helm.sh/release.v1               1      7d22h
sh.helm.release.v1.starburst.v3                  helm.sh/release.v1               1      6d22h
sh.helm.release.v1.starburst.v4                  helm.sh/release.v1               1      6d22h
sh.helm.release.v1.starburst.v5                  helm.sh/release.v1               1      39h
sh.helm.release.v1.starburst.v6                  helm.sh/release.v1               1      39h
sh.helm.release.v1.starburst.v7                  helm.sh/release.v1               1      39h
starburstdata                                    Opaque                           1      203d
tls-secret-starburst                             kubernetes.io/tls                2      126d
values-yaml-secret                               Opaque                           1      7d22h
