NAME                                       TYPE           CLUSTER-IP       EXTERNAL-IP                                                               PORT(S)                      AGE     SELECTOR
certmanager-cert-manager                   ClusterIP      172.20.30.112    <none>                                                                    9402/TCP                     126d    app.kubernetes.io/component=controller,app.kubernetes.io/instance=certmanager,app.kubernetes.io/name=cert-manager
certmanager-cert-manager-webhook           ClusterIP      172.20.8.205     <none>                                                                    443/TCP                      126d    app.kubernetes.io/component=webhook,app.kubernetes.io/instance=certmanager,app.kubernetes.io/name=webhook
coordinator                                ClusterIP      None             <none>                                                                    8080/TCP,8443/TCP            7d22h   app=starburst-enterprise,helm-chart=starburst-enterprise-423.1.0,helm-release=starburst,managed-by=Helm,role=coordinator
externaldns-external-dns                   ClusterIP      172.20.199.20    <none>                                                                    7979/TCP                     126d    app.kubernetes.io/instance=externaldns,app.kubernetes.io/name=external-dns
hive                                       ClusterIP      172.20.33.179    <none>                                                                    9083/TCP                     203d    app=starburst-hive,helm-chart=starburst-hive-411.0.0,helm-release=hive,managed-by=Helm,role=hive
kubernetes                                 ClusterIP      172.20.0.1       <none>                                                                    443/TCP                      206d    <none>
nginx-ingress-nginx-controller             LoadBalancer   172.20.64.4      a41958bb20ba9410d81ce158ac84b026-1084060373.us-east-2.elb.amazonaws.com   80:31232/TCP,443:30774/TCP   126d    app.kubernetes.io/component=controller,app.kubernetes.io/instance=nginx,app.kubernetes.io/name=ingress-nginx
nginx-ingress-nginx-controller-admission   ClusterIP      172.20.113.204   <none>                                                                    443/TCP                      126d    app.kubernetes.io/component=controller,app.kubernetes.io/instance=nginx,app.kubernetes.io/name=ingress-nginx
prometheus-coordinator-starburst           ClusterIP      172.20.47.84     <none>                                                                    8081/TCP                     7d22h   app=starburst-enterprise,helm-chart=starburst-enterprise-423.1.0,helm-release=starburst,managed-by=Helm,role=coordinator
prometheus-worker-starburst                ClusterIP      172.20.243.218   <none>                                                                    8081/TCP                     7d22h   app=starburst-enterprise,helm-chart=starburst-enterprise-423.1.0,helm-release=starburst,managed-by=Helm,role=worker
ranger                                     LoadBalancer   172.20.2.141     a9774519034704db5b049dd76ba8d8c6-566603146.us-east-2.elb.amazonaws.com    6080:30862/TCP               203d    app=starburst-ranger,helm-chart=starburst-ranger-411.0.0,helm-release=ranger,managed-by=Helm
starburst                                  LoadBalancer   172.20.225.129   afedd9e65d7f84fa2b28bd196699a1a1-363147642.us-east-2.elb.amazonaws.com    8443:32499/TCP               39h     app=starburst-enterprise,helm-chart=starburst-enterprise-423.1.0,helm-release=starburst,managed-by=Helm,role=coordinator
worker                                     ClusterIP      None             <none>                                                                    8080/TCP,8443/TCP            7d22h   app=starburst-enterprise,helm-chart=starburst-enterprise-423.1.0,helm-release=starburst,managed-by=Helm,role=worker
